ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00601/data/Folder_2,\corpus\sip_2014.0037.00601\data\Folder_2,Folder_2,,Done,,Folder,,2018-10-23T12:04:49,false,,,,,,
3,2,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-10-23T12:04:49,false,,,,,,
4,3,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4,Folder_4,,Done,,Folder,,2018-10-23T12:05:08,false,,,,,,
5,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_5,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_5,File_5,Signature,Done,1713270,File,jpg,2005-03-26T04:01:42,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
6,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_6,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_6,File_6,Signature,Done,1707128,File,jpg,2005-03-25T21:32:04,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
7,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_7,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_7,File_7,Signature,Done,1715286,File,jpg,2005-03-25T20:53:48,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
8,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_8,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_8,File_8,Signature,Done,1732160,File,jpg,2005-03-25T20:53:22,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
9,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_9,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_9,File_9,Signature,Done,1714521,File,jpg,2005-03-25T21:17:28,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
11,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_11,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_11,File_11,Signature,Done,1713887,File,jpg,2005-03-25T21:29:10,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
12,4,file://corpus/sip_2014.0037.00601/data/Folder_2/Folder_3/Folder_4/File_12,\corpus\sip_2014.0037.00601\data\Folder_2\Folder_3\Folder_4\File_12,File_12,Signature,Done,1704371,File,jpg,2005-03-25T21:19:16,false,,1,x-fmt/391,image/jpeg,Exchangeable Image File Format (Compressed),2.2
