ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00814/data/Folder_2,\corpus\sip_2014.0037.00814\data\Folder_2,Folder_2,,Done,,Folder,,2018-11-08T09:58:32,false,,,,,,
3,2,file://corpus/sip_2014.0037.00814/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00814\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-11-08T09:58:46,false,,,,,,
4,3,file://corpus/sip_2014.0037.00814/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.00814\data\Folder_2\Folder_3\File_4,File_4,Container,Done,19456,File,doc,2000-05-15T18:12:54,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
6,3,file://corpus/sip_2014.0037.00814/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.00814\data\Folder_2\Folder_3\File_6,File_6,Container,Done,51200,File,doc,2000-04-17T23:06:56,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
5,3,file://corpus/sip_2014.0037.00814/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.00814\data\Folder_2\Folder_3\File_5,File_5,Container,Done,231424,File,doc,2000-04-17T22:49:44,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
7,3,file://corpus/sip_2014.0037.00814/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.00814\data\Folder_2\Folder_3\File_7,File_7,Container,Done,22016,File,doc,2000-06-02T05:04:08,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
