ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00701/data/Folder_2,\corpus\sip_2014.0037.00701\data\Folder_2,Folder_2,,Done,,Folder,,2018-11-06T09:36:57,false,,,,,,
3,2,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-11-06T09:37:24,false,,,,,,
8,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_8,File_8,Signature,Done,128512,File,,1994-07-11T05:30:40,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
5,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_5,File_5,Signature,Done,62464,File,,1994-07-11T03:08:45,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
6,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_6,File_6,Signature,Done,6144,File,,1993-12-30T08:04:46,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
7,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_7,File_7,Signature,Done,21504,File,,1994-08-30T19:23:40,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
11,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11,Folder_11,,Done,,Folder,,2018-11-06T09:36:57,false,,,,,,
13,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_13,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_13,File_13,Signature,Done,51712,File,,1994-07-11T03:19:30,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
12,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_12,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_12,File_12,Signature,Done,62464,File,,1994-07-11T03:08:45,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
14,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_14,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_14,File_14,Signature,Done,110592,File,,1994-05-10T21:28:17,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
15,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_15,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_15,File_15,Signature,Done,10240,File,,1994-08-01T19:13:19,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
18,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_18,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_18,File_18,Signature,Done,13824,File,,1994-07-12T22:35:54,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
16,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_16,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_16,File_16,Signature,Done,10752,File,,1994-07-24T22:07:35,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
17,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_17,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_17,File_17,Signature,Done,50688,File,,1994-07-23T17:36:25,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
19,11,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/Folder_11/File_19,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\Folder_11\File_19,File_19,Signature,Done,3584,File,,1994-07-21T06:56:02,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
22,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_22,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_22,File_22,Signature,Done,13824,File,,1994-07-12T22:35:54,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
24,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_24,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_24,File_24,Signature,Done,45056,File,,1994-07-07T19:18:03,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
25,3,file://corpus/sip_2014.0037.00701/data/Folder_2/Folder_3/File_25,\corpus\sip_2014.0037.00701\data\Folder_2\Folder_3\File_25,File_25,Signature,Done,13824,File,,1994-07-30T23:49:22,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
