ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00855/data/Folder_2,\corpus\sip_2014.0037.00855\data\Folder_2,Folder_2,,Done,,Folder,,2018-12-11T13:00:28,false,,,,,,
3,2,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-12-11T13:00:43,false,,,,,,
4,3,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\File_4,File_4,Signature,Done,7680,File,,1993-02-20T01:15:49,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
5,3,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5,Folder_5,,Done,,Folder,,2018-12-11T13:00:29,false,,,,,,
6,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_6,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_6,File_6,Signature,Done,2560,File,,1991-09-26T19:50:36,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
7,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_7,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_7,File_7,Signature,Done,3584,File,,1991-09-22T02:38:22,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
8,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_8,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_8,File_8,Signature,Done,2560,File,,1992-08-21T00:17:28,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
9,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_9,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_9,File_9,Signature,Done,2560,File,,1991-09-05T21:39:39,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
10,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_10,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_10,File_10,Signature,Done,2560,File,,1992-08-29T00:52:44,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
11,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_11,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_11,File_11,Signature,Done,2560,File,,1992-09-14T21:46:38,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
12,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_12,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_12,File_12,Signature,Done,2560,File,,1992-05-06T19:48:17,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
15,5,file://corpus/sip_2014.0037.00855/data/Folder_2/Folder_3/Folder_5/File_15,\corpus\sip_2014.0037.00855\data\Folder_2\Folder_3\Folder_5\File_15,File_15,Signature,Done,10240,File,,1992-06-30T20:33:31,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
