ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,NO_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
27,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_27,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_27,File_27,,Done,98,File,DOC,1980-01-01T12:51:08+11:00,FALSE,,0,,,,
28,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_28,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_28,File_28,,Done,14077,File,001,1986-08-19T18:55:42+10:00,FALSE,,0,,,,
29,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_29,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_29,File_29,,Done,98,File,DOC,1986-08-21T17:54:26+10:00,FALSE,,0,,,,
30,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_30,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_30,File_30,,Done,15668,File,001,1986-08-21T17:49:58+10:00,FALSE,,0,,,,
31,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_31,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_31,File_31,,Done,98,File,DOC,1986-08-21T17:56:24+10:00,FALSE,,0,,,,
32,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_32,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_32,File_32,,Done,7454,File,001,1986-08-20T19:32:58+10:00,FALSE,,0,,,,
33,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_33,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_33,File_33,,Done,98,File,DOC,1986-08-21T17:55:48+10:00,FALSE,,0,,,,
34,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_34,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_34,File_34,,Done,50932,File,001,1986-08-16T19:07:18+10:00,FALSE,,0,,,,
35,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_35,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_35,File_35,,Done,98,File,DOC,1986-08-19T16:30:56+10:00,FALSE,,0,,,,
36,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_36,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_36,File_36,,Done,6304,File,001,1986-08-19T23:52:36+10:00,FALSE,,0,,,,
37,2,file://corpus/sip_2014.0037.01025/data/Folder_1/Folder_2/File_37,\corpus\sip_2014.0037.01025\data\Folder_1\Folder_2\File_37,File_37,,Done,98,File,DOC,1986-08-21T17:55:06+10:00,FALSE,,0,,,,
