ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00801/data/Folder_2,\corpus\sip_2014.0037.00801\data\Folder_2,Folder_2,,Done,,Folder,,2018-11-07T16:57:59,false,,,,,,
3,2,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-11-07T16:58:00,false,,,,,,
6,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_6,File_6,Signature,Done,51200,File,doc,1991-06-09T19:07:26,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
5,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_5,File_5,Signature,Done,5120,File,doc,1992-01-10T05:51:29,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
4,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_4,File_4,Signature,Done,8192,File,doc,1992-03-25T03:54:48,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
9,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_9,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_9,File_9,,Done,4047,File,,1991-08-23T22:33:54,false,,0,,,,
7,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_7,File_7,Signature,Done,8704,File,doc,1991-10-03T19:23:55,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
10,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_10,File_10,Signature,Done,15360,File,doc,1992-02-18T00:01:13,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
11,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_11,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_11,File_11,Signature,Done,8704,File,doc,1992-03-24T18:30:03,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
12,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_12,File_12,Signature,Done,16384,File,doc,1992-02-20T00:32:36,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
15,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_15,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_15,File_15,Signature,Done,5120,File,doc,1992-01-14T23:25:17,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
16,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_16,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_16,File_16,Signature,Done,16896,File,doc,1992-03-03T19:52:09,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
19,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_19,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_19,File_19,Signature,Done,8704,File,doc,1992-03-16T19:52:11,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
20,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_20,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_20,File_20,Signature,Done,4608,File,doc,1992-01-21T02:45:22,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
21,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_21,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_21,File_21,Signature,Done,25600,File,doc,1991-10-06T16:50:28,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
22,3,file://corpus/sip_2014.0037.00801/data/Folder_2/Folder_3/File_22,\corpus\sip_2014.0037.00801\data\Folder_2\Folder_3\File_22,File_22,Signature,Done,9728,File,doc,1991-10-14T21:12:11,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
