ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,NO_HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
1,,file://corpus/sip_2014.0037.00646/data/Folder_1,\corpus\sip_2014.0037.00646\data\Folder_1,Folder_1,,Done,,Folder,,2018-11-01T10:23:32+11:00,false,,,,,,
2,1,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2,Folder_2,,Done,,Folder,,2019-04-18T12:07:13+10:00,false,,,,,,
3,2,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2019-04-18T12:07:13+10:00,false,,,,,,
4,3,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4,Folder_4,,Done,,Folder,,2018-11-01T10:24:00+11:00,false,,,,,,
5,4,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4/File_5,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4\File_5,File_5,Signature,Done,59392,File,,1993-01-19T21:09:28+11:00,TRUE,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
6,4,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4/File_6,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4\File_6,File_6,Signature,Done,53248,File,,1993-07-13T18:26:20+10:00,TRUE,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
7,4,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4/File_7,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4\File_7,File_7,Signature,Done,48640,File,T,1993-07-22T19:02:10+10:00,TRUE,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
8,4,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4/File_8,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4\File_8,File_8,Signature,Done,45056,File,,1993-07-22T19:22:08+10:00,TRUE,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
9,4,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4/File_9,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4\File_9,File_9,Signature,Done,27136,File,,1993-07-22T19:25:42+10:00,TRUE,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
10,4,file://corpus/sip_2014.0037.00646/data/Folder_1/Folder_2/Folder_3/Folder_4/File_10,\corpus\sip_2014.0037.00646\data\Folder_1\Folder_2\Folder_3\Folder_4\File_10,File_10,Signature,Done,31232,File,,1993-07-22T19:50:24+10:00,TRUE,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
