ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.01051/data/Folder_2,\corpus\sip_2014.0037.01051\data\Folder_2,Folder_2,,Done,,Folder,,2018-12-24T09:48:48,false,,,,,,
3,2,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-12-24T09:48:48,false,,,,,,
4,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_4,File_4,,Done,0,File,00b,1987-11-18T17:57:36,false,,0,,,,
5,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_5,File_5,,Done,10090,File,001,1987-11-18T10:01:42,false,,0,,,,
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,x-fmt/329,,Interleaf Document,
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,x-fmt/273,application/msword,Microsoft Word for MS-DOS Document,3.0
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,x-fmt/131,,Stationery for Mac OS X,
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,x-fmt/43,,Wordperfect Secondary File,5.1/5.2
6,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_6,File_6,Extension,Done,98,File,doc,1987-11-18T10:01:44,false,,8,x-fmt/42,,Wordperfect Secondary File,5.0
7,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_7,File_7,,Done,32714,File,001,1987-11-18T10:21:32,false,,0,,,,
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,x-fmt/329,,Interleaf Document,
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,x-fmt/273,application/msword,Microsoft Word for MS-DOS Document,3.0
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,x-fmt/131,,Stationery for Mac OS X,
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,x-fmt/43,,Wordperfect Secondary File,5.1/5.2
8,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_8,File_8,Extension,Done,98,File,doc,1987-11-18T10:21:36,false,,8,x-fmt/42,,Wordperfect Secondary File,5.0
9,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_9,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_9,File_9,,Done,25140,File,001,1987-11-18T10:09:20,false,,0,,,,
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,x-fmt/329,,Interleaf Document,
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,x-fmt/273,application/msword,Microsoft Word for MS-DOS Document,3.0
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,x-fmt/131,,Stationery for Mac OS X,
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,x-fmt/43,,Wordperfect Secondary File,5.1/5.2
10,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_10,File_10,Extension,Done,98,File,doc,1987-11-18T10:09:22,false,,8,x-fmt/42,,Wordperfect Secondary File,5.0
11,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_11,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_11,File_11,,Done,41669,File,001,1987-11-18T08:49:18,false,,0,,,,
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,x-fmt/329,,Interleaf Document,
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,x-fmt/273,application/msword,Microsoft Word for MS-DOS Document,3.0
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,x-fmt/131,,Stationery for Mac OS X,
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,x-fmt/43,,Wordperfect Secondary File,5.1/5.2
12,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_12,File_12,Extension,Done,98,File,doc,1987-11-18T08:49:48,false,,8,x-fmt/42,,Wordperfect Secondary File,5.0
13,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_13,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_13,File_13,,Done,17532,File,001,1987-11-18T17:45:22,false,,0,,,,
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,x-fmt/329,,Interleaf Document,
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,x-fmt/273,application/msword,Microsoft Word for MS-DOS Document,3.0
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,x-fmt/131,,Stationery for Mac OS X,
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,x-fmt/43,,Wordperfect Secondary File,5.1/5.2
14,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_14,File_14,Extension,Done,98,File,doc,1987-11-18T17:45:24,false,,8,x-fmt/42,,Wordperfect Secondary File,5.0
15,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_15,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_15,File_15,,Done,42207,File,001,1987-11-18T09:52:46,false,,0,,,,
16,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_16,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_16,File_16,Extension,Done,98,File,doc,1987-11-18T09:52:48,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
16,3,file://corpus/sip_2014.0037.01051/data/Folder_2/Folder_3/File_16,\corpus\sip_2014.0037.01051\data\Folder_2\Folder_3\File_16,File_16,Extension,Done,98,File,doc,1987-11-18T09:52:48,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
