ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00735/data/Folder_2,\corpus\sip_2014.0037.00735\data\Folder_2,Folder_2,,Done,,Folder,,2018-11-06T15:20:19,false,,,,,,
3,2,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-11-06T15:21:43,false,,,,,,
6,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_6,File_6,Signature,Done,102912,File,doc,1996-01-23T18:32:44,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
4,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_4,File_4,Signature,Done,58368,File,doc,1993-07-06T04:21:41,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
7,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_7,File_7,Signature,Done,5632,File,doc,1996-06-30T19:21:50,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
9,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_9,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_9,File_9,Signature,Done,3072,File,doc,1993-05-31T20:57:12,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
5,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_5,File_5,Signature,Done,8192,File,doc,1993-05-29T00:22:15,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
8,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_8,File_8,Signature,Done,9216,File,doc,1993-05-18T21:49:33,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
10,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_10,File_10,Signature,Done,59392,File,doc,1996-07-30T04:52:28,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
12,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_12,File_12,Signature,Done,13312,File,doc,1993-05-30T22:17:10,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
11,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_11,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_11,File_11,Signature,Done,34304,File,doc,1996-08-12T04:11:44,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
13,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_13,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_13,File_13,Signature,Done,37888,File,doc,1993-05-14T18:23:00,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
14,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_14,File_14,Signature,Done,10752,File,doc,1993-05-13T23:02:31,true,,1,x-fmt/64,application/msword,Microsoft Word for Macintosh Document,4.0
15,3,file://corpus/sip_2014.0037.00735/data/Folder_2/Folder_3/File_15,\corpus\sip_2014.0037.00735\data\Folder_2\Folder_3\File_15,File_15,Signature,Done,53248,File,doc,1996-01-24T02:25:55,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
