ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00640/data/Folder_2,\corpus\sip_2014.0037.00640\data\Folder_2,Folder_2,,Done,,Folder,,2018-10-31T15:35:41,false,,,,,,
3,2,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-10-31T15:36:01,false,,,,,,
4,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/Folder_4,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\Folder_4,Folder_4,,Done,,Folder,,2018-10-31T15:36:01,false,,,,,,
6,4,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/Folder_4/File_6,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\Folder_4\File_6,File_6,Signature,Done,28712,File,jpg,2004-03-24T21:45:30,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
5,4,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/Folder_4/File_5,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\Folder_4\File_5,File_5,Signature,Done,43589,File,jpg,2004-03-24T21:45:28,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
7,4,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/Folder_4/File_7,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\Folder_4\File_7,File_7,Signature,Done,28332,File,jpg,2004-03-24T21:45:28,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
8,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_8,File_8,Signature,Done,1509113,File,jpg,2003-01-24T22:42:24,false,,1,x-fmt/390,image/jpeg,Exchangeable Image File Format (Compressed),2.1
9,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_9,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_9,File_9,Signature,Done,33328,File,jpg,2004-03-24T21:45:28,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
10,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_10,File_10,Signature,Done,35466,File,jpg,2003-11-21T01:26:34,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
11,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_11,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_11,File_11,Signature,Done,33172,File,jpg,2004-03-24T21:45:28,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
16,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/Folder_16,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\Folder_16,Folder_16,,Done,,Folder,,2018-10-31T15:36:01,false,,,,,,
17,16,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/Folder_16/File_17,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\Folder_16\File_17,File_17,Signature,Done,33172,File,jpg,2004-05-15T00:13:42,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
18,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_18,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_18,File_18,Signature,Done,55021,File,jpg,2003-09-29T19:42:34,false,,1,fmt/44,image/jpeg,JPEG File Interchange Format,1.02
19,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_19,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_19,File_19,Signature,Done,52813,File,jpg,2003-09-29T19:42:28,false,,1,fmt/44,image/jpeg,JPEG File Interchange Format,1.02
14,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_14,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_14,File_14,Signature,Done,44294,File,,2003-04-07T19:42:16,true,,1,fmt/500,,Internet Explorer for Mac cache file,
15,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_15,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_15,File_15,Signature,Done,8367,File,jpg,2003-09-04T19:33:16,false,,1,fmt/44,image/jpeg,JPEG File Interchange Format,1.02
27,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_27,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_27,File_27,Signature,Done,3403520,File,tif,2003-03-27T22:13:22,false,,1,fmt/353,image/tiff,Tagged Image File Format,
20,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_20,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_20,File_20,Signature,Done,33326,File,,2003-11-21T01:27:46,true,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
21,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_21,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_21,File_21,Signature,Done,28376,File,jpg,2003-02-13T19:49:18,false,,1,fmt/44,image/jpeg,JPEG File Interchange Format,1.02
24,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_24,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_24,File_24,Signature,Done,996495,File,,2003-10-31T22:22:24,true,,1,fmt/42,image/jpeg,JPEG File Interchange Format,1.00
25,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_25,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_25,File_25,Signature,Done,30627,File,jpg,2004-03-24T21:45:28,false,,1,fmt/43,image/jpeg,JPEG File Interchange Format,1.01
12,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_12,File_12,Signature,Done,61686,File,jpg,2003-02-13T19:49:54,false,,1,fmt/44,image/jpeg,JPEG File Interchange Format,1.02
13,3,file://corpus/sip_2014.0037.00640/data/Folder_2/Folder_3/File_13,\corpus\sip_2014.0037.00640\data\Folder_2\Folder_3\File_13,File_13,Signature,Done,1169616,File,jpg,2002-12-17T21:53:40,false,,1,fmt/41,image/jpeg,Raw JPEG Stream,
