ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00618/data/Folder_2,\corpus\sip_2014.0037.00618\data\Folder_2,Folder_2,,Done,,Folder,,2018-10-30T14:07:51,false,,,,,,
3,2,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-10-30T14:09:38,false,,,,,,
7,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_7,File_7,Container,Done,67072,File,doc,2005-08-20T03:17:48,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
11,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_11,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_11,File_11,Container,Done,74240,File,doc,2005-09-28T21:24:21,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
13,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_13,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_13,File_13,Container,Done,82432,File,doc,2005-09-04T22:14:08,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
4,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_4,File_4,Container,Done,110080,File,doc,2005-09-19T22:05:31,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
6,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_6,File_6,Container,Done,60416,File,doc,2005-09-21T23:48:30,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
5,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_5,File_5,Container,Done,19968,File,doc,2005-09-22T00:07:06,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
8,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_8,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_8,File_8,Container,Done,93696,File,doc,2005-10-01T00:36:49,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
10,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_10,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_10,File_10,Container,Done,61952,File,doc,2005-10-02T00:10:08,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
9,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_9,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_9,File_9,Container,Done,79360,File,doc,2005-10-02T02:42:37,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
12,3,file://corpus/sip_2014.0037.00618/data/Folder_2/Folder_3/File_12,\corpus\sip_2014.0037.00618\data\Folder_2\Folder_3\File_12,File_12,Container,Done,19456,File,doc,2005-09-28T21:33:13,false,,1,fmt/40,application/msword,Microsoft Word Document,97-2003
