ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.00794/data/Folder_2,\corpus\sip_2014.0037.00794\data\Folder_2,Folder_2,,Done,,Folder,,2018-11-07T16:39:16,false,,,,,,
3,2,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2018-11-07T16:40:17,false,,,,,,
4,3,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4,Folder_4,,Done,,Folder,,2018-11-07T16:39:17,false,,,,,,
5,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_5,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_5,File_5,Signature,Done,34816,File,,1998-04-21T01:43:54,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
8,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_8,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_8,File_8,Signature,Done,84480,File,,1998-04-20T23:30:22,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
6,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_6,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_6,File_6,Signature,Done,62976,File,,1998-04-23T20:06:46,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
7,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_7,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_7,File_7,Signature,Done,37376,File,,1998-04-21T03:31:59,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
9,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_9,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_9,File_9,Signature,Done,36864,File,,1998-04-23T20:46:29,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
10,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_10,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_10,File_10,Signature,Done,79872,File,,1998-04-22T00:20:39,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
11,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_11,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_11,File_11,Signature,Done,72704,File,,1998-04-25T21:29:03,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
12,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_12,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_12,File_12,Signature,Done,46592,File,,1998-04-25T21:03:38,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
13,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_13,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_13,File_13,Signature,Done,71680,File,,1998-04-14T02:10:45,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
14,4,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_4/File_14,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_4\File_14,File_14,Signature,Done,35328,File,,1998-04-26T19:07:41,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
15,3,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15,Folder_15,,Done,,Folder,,2018-11-07T16:39:17,false,,,,,,
16,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_16,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_16,File_16,Signature,Done,24064,File,,1998-06-10T18:17:18,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
17,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_17,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_17,File_17,Signature,Done,18944,File,,1998-04-22T23:32:48,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
18,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_18,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_18,File_18,Signature,Done,40448,File,,1998-04-23T20:20:41,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
19,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_19,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_19,File_19,Signature,Done,44544,File,,1998-04-23T21:53:34,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
20,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_20,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_20,File_20,Signature,Done,40448,File,,1998-04-19T22:28:15,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
21,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_21,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_21,File_21,Signature,Done,25088,File,,1998-06-10T19:55:14,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
22,15,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_15/File_22,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_15\File_22,File_22,Signature,Done,38912,File,,1998-04-23T17:37:57,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
23,3,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_23,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_23,Folder_23,,Done,,Folder,,2018-11-07T16:39:17,false,,,,,,
24,23,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_23/File_24,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_23\File_24,File_24,Signature,Done,48128,File,,1998-04-26T20:43:00,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
25,23,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/Folder_23/File_25,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\Folder_23\File_25,File_25,Signature,Done,3072,File,,1998-05-26T01:49:15,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
26,3,file://corpus/sip_2014.0037.00794/data/Folder_2/Folder_3/File_26,\corpus\sip_2014.0037.00794\data\Folder_2\Folder_3\File_26,File_26,Signature,Done,15360,File,,1998-01-27T22:43:36,true,,1,x-fmt/65,application/msword,Microsoft Word for Macintosh Document,5.0
